"delta_cost","delta_qaly"
1050.45388818898,-0.0024866907037031
1433.52003464567,0.00662272092785117
1785.06518425197,0.0145870965307981
818.467268503937,0.0200916533277283
858.736081102363,0.00721017316367283
1643.60493385827,0.0141377009598646
1697.11759370079,0.0016007265005632
1510.03310551181,0.00681826168032898
1428.50382362205,-0.0103131928837437
870.044983464567,0.00882755312670104
1247.46658818898,-0.00914446474478164
944.546111023622,0.00597352692309765
1170.34675984252,-0.0043192937638442
1796.25888818898,0.0104422060178822
1779.78877401575,0.0127384544077781
1752.35365826772,0.0029115749648337
1173.77342125984,-0.001222806081478
1147.55507165354,-0.0138557562234905
1290.14771496063,0.0159240839248277
1953.34326062992,0.00837066619239329
557.275796062992,0.0110756627700798
1792.1738519685,-0.0178247775496236
628.504566141732,-0.000367130700038271
597.540235433071,0.0106242730952265
834.380038582677,0.00678596797576893
808.67622519685,-0.000618959077753889
439.593426771653,-0.00811981869822741
337.227381889764,0.00918482109654159
783.379085826772,0.010124324295192
1914.51526614173,0.00952313968967432
1141.13693464567,0.0142297207715565
896.680558267717,0.00917841840611812
410.745108661417,-0.00747434342781074
482.04928031496,-0.000417080308493273
1024.22857244094,0.0028084959605922
936.102081102362,0.00185527117118574
934.394452755905,0.00189778331096704
1426.44279527559,0.00801419586412068
1826.32545984252,-0.00487992799668009
1396.5844,-0.0106953925420513
-15.5518850393701,0.0114043881065175
1083.05294645669,0.0036489191417808
1166.06008661417,0.0023493346699219
1458.83396614173,0.00161642063735873
2099.84169448819,-0.000371215918338746
1391.38046535433,0.0179078077252664
1049.71554566929,0.00492644990218112
1508.31827480315,0.0150261658771093
476.04651496063,0.00253371921938916
1523.73348267717,-0.00919462993203878
1526.04362834646,0.0111168383212879
977.601822047244,0.00818905183053351
1244.1168976378,0.0114252130188039
1554.65917716535,-0.00123252868545436
745.331362204724,0.0143291133782815
1328.3841984252,0.00975771098427891
1967.43846220472,0.00704195702436579
1644.09670944882,0.00507681611667125
1454.4785496063,0.00453468932399877
956.560697637795,0.0102362420303211
1113.63558503937,0.00182804356847592
1561.04250472441,-0.0146596926924176
1415.41799133858,0.0152194107153444
989.278331496063,-0.00164370213476908
1230.88100629921,0.017901512824244
881.74937007874,-0.005454995230319
988.649785826771,-0.00733286983890874
897.219858267717,0.0177098201533843
992.445006299213,0.00936036691512122
1048.19701023622,0.00945226815847197
1750.84753464567,0.00259110629651786
1520.13213543307,-0.00701894398723774
1024.71592677165,0.0111118907877788
1540.20855984252,0.0116918193234059
1243.52940708661,-0.0107969517157378
1280.30443070866,-0.00123308919033992
839.94028503937,0.0153381299616809
1290.72869055118,0.00869979034961492
1645.1840984252,0.00937432564255956
1159.82558346457,0.0195300489902828
1371.19141102362,-0.0172896570680205
1638.57473464567,-0.00330704349841279
1227.19609212598,-0.0130982985443041
1637.48063149606,0.00851786339849203
526.798668503937,-0.00909117366489354
859.227206299212,0.0168074396244617
1046.52126062992,0.00404421521231817
1502.22728897638,0.0118774111141651
752.367873228347,0.000209014427611343
827.262176377953,0.0170454494009604
1353.75787637795,0.00891596199345718
794.805505511811,0.0259791535298334
309.237249606299,-0.00539369539793152
1757.31572992126,-0.0130288390542558
1285.696,-0.00426729615676891
1159.15663622047,-0.00472176860849272
725.41038503937,0.0164998949053339
1395.38653385827,-0.00257922790452016
480.248951181102,0.000253779365874951
650.079644094488,0.0228355079844999
790.26494015748,0.0119874533137157
1533.88015826772,0.00465776326213843
939.376608661417,0.00416049841819054
965.172462204725,-0.00457152096234378
926.988741732283,0.00523652767223398
658.903621259843,0.0167444906142379
1218.70222125984,0.0190252065514398
1444.52558582677,0.00454597487429061
1264.27744724409,-0.00318995187203243
1481.6219488189,0.0107743806151541
614.253590551181,0.00435538165532183
1048.95359291339,0.00635825963233035
1136.38019606299,-0.00373349070585889
1255.69158661417,-0.0188250200757759
608.461692125984,0.00440722835723564
1458.01685669291,0.00501400723266882
1814.36438188976,0.0012009787277617
1578.78902992126,0.0070427546659337
1709.22935354331,0.00490096848776859
1492.25300314961,-0.000447638603696093
353.580778740157,0.0128082157081494
1131.45422913386,0.0132036411259681
1181.18815669291,-0.0130438541178246
1562.81967322835,-0.00173784539766204
1564.1449976378,0.012975073701003
772.499123622047,-0.000515470473788318
2110.94763622047,0.0149889677548007
1685.00542755906,-0.0133635898182132
964.302926771653,-0.00154876123030821
1448.94829527559,0.00176570895783817
801.532377952756,0.0180928821269005
1689.24769133858,0.00436270055565437
875.023789763779,0.00330828307652509
991.224447244095,2.87905490253121e-05
1094.02909212598,-0.00400061439958609
684.004702362205,0.00831679304973942
1736.81011732283,0.00280128484966073
2050.59731181102,0.0116089184950444
1240.92721496063,0.0131844114968175
980.877488976378,-0.00373517222051556
951.710186614173,0.00561688413178332
-269.035640944882,0.00504863996723201
1334.97512834646,0.0153423876430231
1234.70910393701,-0.00345480120939709
2723.30478582677,0.00443873519916786
507.730298425197,0.012307361477146
1689.71008582677,0.0205846173745736
2206.93958425197,0.00902344958420237
1428.25381417323,0.0173621023244784
413.189337795275,0.0144094595978378
1627.20351338583,0.013060345896188
1216.34026614173,-0.00410797264305002
1338.20508503937,-0.00110517550809229
836.496313385827,0.00882719742167754
1036.73686377953,0.000703282726209536
1580.92217401575,-0.0116886071992541
992.535556692913,-0.000627107956474637
1143.6670992126,-0.00128432149266763
1039.23564330709,0.00171859421063127
1347.9625992126,0.0114777926886449
1707.19389370079,-0.00312483629484712
