hrg_code,episodes_affected,note
UZ01Z,8,Not found in 2011-12 National Schedule of Reference Costs (Total - HRGs sheet) - check unbundled/other-currency sheets or source separately
WD11Z,17,Not found in 2011-12 National Schedule of Reference Costs (Total - HRGs sheet) - check unbundled/other-currency sheets or source separately
